Rank,Title,category,fuzzy_relevance,fuzzy_recency,fuzzy_format,fuzzy_score
1,Artificial Intelligence: A Guide to Intelligent Systems,Directly AI-related,1.0,1.0,1.0,1.0000000000000002
2,"Artificial Intelligence: A Modern Approach, Global Edition
",Directly AI-related,1.0,0.75,1.0,0.9250000000000002
3,"C++ How to Program, Global Edition",Programming support,0.8,1.0,1.0,0.8800000000000001
4,"C++ How to Program, Global Edition",Programming support,0.8,1.0,1.0,0.8800000000000001
5,"Java Software Solutions, Foundations of Program Design, Global Edition (International eBook)",Programming support,0.8,1.0,1.0,0.8800000000000001
6,"Starting Out with C++ from Control Structures to Objects, Global Edition (International eBook)",Programming support,0.8,1.0,1.0,0.8800000000000001
7,"Starting out with Visual C#, Global Edition",Programming support,0.8,1.0,1.0,0.8800000000000001
8,"Starting Out with Python, Global Edition",Programming support,0.8,1.0,1.0,0.8800000000000001
9,"Starting Out with Java: From Control Structures through Objects, Global Edition ",Programming support,0.8,1.0,1.0,0.8800000000000001
10,"Introduction to Java Programming and Data Structures, Global Edition",Programming support,0.8,1.0,1.0,0.8800000000000001
11,"Objects First with Java: A Practical Introduction Using BlueJ, Global Edition",Programming support,0.8,1.0,1.0,0.8800000000000001
12,"Introduction to Python Programming and Data Structures, Global Edition",Programming support,0.8,1.0,0.6,0.8400000000000002
13,"Artificial Intelligence: A Modern Approach, Global Edition",Directly AI-related,1.0,0.5,0.6,0.8100000000000002
14,"C How to Program: With Case Studies in Applications and Systems Programming, Global Edition",Programming support,0.8,0.75,0.6,0.7650000000000001
15,"Concepts of Programming Languages, Global Edition",Programming support,0.8,0.75,0.6,0.7650000000000001
16,"Computer Organization and Architecture, Global Edition",Programming support,0.8,0.75,0.6,0.7650000000000001
17,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud, Global Edition",Programming support,0.8,0.75,0.6,0.7650000000000001
18,"Statistics: Informed Decisions Using Data, Global Edition",Mathematical support,0.55,1.0,1.0,0.7300000000000001
19,Mathematics for Engineers,Mathematical support,0.55,1.0,1.0,0.7300000000000001
20,"Discrete and Combinatorial Mathematics (Classic Version), Global Edition ",Mathematical support,0.55,1.0,1.0,0.7300000000000001
21,Mathematical Analysis Volume 2,Mathematical support,0.55,1.0,1.0,0.7300000000000001
22,Mathematical Analysis Volume 1,Mathematical support,0.55,1.0,1.0,0.7300000000000001
23,"Data Science for All, Global Edition",Mathematical support,0.55,1.0,1.0,0.7300000000000001
24,"Basic Business Statistics, Global Edition",Mathematical support,0.55,1.0,1.0,0.7300000000000001
25,"Business Math, Global Edition",Mathematical support,0.55,1.0,1.0,0.7300000000000001
26,"Calculus: Early Transcendentals, Global Edition",Mathematical support,0.55,1.0,1.0,0.7300000000000001
27,"Elementary Statistics: Picturing the World, Global Edition",Mathematical support,0.55,1.0,1.0,0.7300000000000001
28,"Essentials of Statistics, Global Edition",Mathematical support,0.55,1.0,1.0,0.7300000000000001
29,"Mathematics with Applications in the Management, Natural and Social Sciences, Global Edition ",Mathematical support,0.55,1.0,0.6,0.6900000000000002
30,"Probability and Statistical Inference, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
31,"Thomas' Calculus, SI Units",Mathematical support,0.55,1.0,0.6,0.6900000000000002
32,"Thomas' Calculus: Early Transcendentals, SI Units",Mathematical support,0.55,1.0,0.6,0.6900000000000002
33,"Intro Stats, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
34,"Intro Stats, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
35,"Statistical Methods for the Social Sciences, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
36,"Statistics: The Art and Science of Learning from Data, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
37,"Business Statistics: A Decision Making Approach, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
38,"Engineering Software Products: An Introduction to Modern Software Engineering, Global Edition",Programming support,0.8,0.5,0.6,0.6900000000000002
39,"Precalculus, Global Edition ",Mathematical support,0.55,1.0,0.6,0.6900000000000002
40,"Precalculus, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
41,"Biostatistics for the Biological and Health Sciences, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
42,"College Algebra and Trigonometry, Global Edition",Mathematical support,0.55,1.0,0.6,0.6900000000000002
43,Computer Vision: A Modern Approach,Directly AI-related,1.0,0.0,0.6,0.6600000000000001
44,"Visual C# How to Program, Global Edition",Programming support,0.8,0.25,0.6,0.6150000000000002
45,"Java How To Program, Late Objects, Global Edition",Programming support,0.8,0.25,0.6,0.6150000000000002
46,"Introduction to Analysis, Global Edition (Classic Version)",Mathematical support,0.55,0.75,0.6,0.6150000000000002
47,"Linear Algebra and Its Applications, Global Edition",Mathematical support,0.55,0.75,0.6,0.6150000000000002
48,"Statistics for Business and Economics, Global Edition",Mathematical support,0.55,0.75,0.6,0.6150000000000002
49,"Statistics for Business & Economics, Global Edition",Mathematical support,0.55,0.75,0.6,0.6150000000000002
50,"Introductory Mathematical Analysis for Business, Economics, and the Life and Social Sciences, Global Edition",Mathematical support,0.55,0.75,0.6,0.6150000000000002
51,"Algebra and Trigonometry, Global Edition",Mathematical support,0.55,0.75,0.6,0.6150000000000002
52,"Precalculus: Graphical, Numerical, Algebraic, Global Edition",Mathematical support,0.55,0.75,0.6,0.6150000000000002
