No,Title,category,tier
1,"Statistical Methods for the Social Sciences, Global Edition",Mathematical support,support
2,"Statistics: The Art and Science of Learning from Data, Global Edition",Mathematical support,support
3,"Statistical Methods for the Social Sciences, Global Edition",Mathematical support,support
4,"Absolute C++, Global Edition",Programming support,strong
5,"Absolute Java, Global Edition",Programming support,strong
6,Algebra,Mathematical support,support
7,"Agile Software Development, Principles, Patterns, and Practices",Programming support,strong
8,"Android: How to Program, Global Edition",Programming support,strong
9,"Calculus for Business, Economics, Life Sciences, and Social Sciences, Global Edition",Mathematical support,support
10,"College Mathematics for Business, Economics, Life Sciences, and Social Sciences, Global Edition",Mathematical support,support
11,"Finite Mathematics for Business, Economics, Life Sciences and Social Sciences,Global Edition",Mathematical support,support
12,"Finite Mathematics for Business, Economics, Life Sciences, and Social Sciences, Global Edition",Mathematical support,support
13,"Art and Science of Java, The",Programming support,strong
14,Artificial Intelligence: A Guide to Intelligent Systems,Directly AI-related,direct
15,"Artificial Intelligence: A Modern Approach, Global Edition",Directly AI-related,direct
16,"Artificial Intelligence: A Modern Approach, Global Edition
",Directly AI-related,direct
17,"Basic Business Statistics, Global Edition",Mathematical support,support
18,Basics of Web Design: HTML5 & CSS3,Programming support,strong
19,"Building Java Programs: A Back to Basics Approach, Global Edition",Programming support,strong
20,Algebra and Trigonometry,Mathematical support,support
21,"Calculus And Its Applications, Global Edition",Mathematical support,support
22,"Algebra and Trigonometry, Global Edition",Mathematical support,support
23,College Algebra,Mathematical support,support
24,"Precalculus, Global Edition ",Mathematical support,support
25,"Precalculus, Pearson New International Edition",Mathematical support,support
26,Linear Algebra with Applications,Mathematical support,support
27,"Calculus, Global Edition",Mathematical support,support
28,"Calculus: Early Transcendentals, Global Edition",Mathematical support,support
29,Mathematical Analysis Volume 1,Mathematical support,support
30,Mathematical Analysis Volume 2,Mathematical support,support
31,Mathematical Proofs: A Transition to Advanced Mathematics,Mathematical support,support
32,"C How to Program: With Case Studies in Applications and Systems Programming, Global Edition",Programming support,strong
33,"C++ How to Program, Global Edition",Programming support,strong
34,"C++ How to Program, Global Edition",Programming support,strong
35,"Business Math, Global Edition",Mathematical support,support
36,"Business Mathematics, Global Edition",Mathematical support,support
37,"Compilers: Principles, Techniques, and Tools",Programming support,strong
38,"Computer Organization and Architecture, Global Edition",Programming support,strong
39,Engineering Mathematics,Mathematical support,support
40,Engineering Mathematics,Mathematical support,support
41,Mathematics for Engineers,Mathematical support,support
42,"Computer Science: An Overview, Global Edition",Programming support,strong
43,"Intro Stats, Global Edition",Mathematical support,support
44,"Stats: Data and Models, Global Edition",Mathematical support,support
45,"Intro Stats, Global Edition",Mathematical support,support
46,Probability and Statistics,Mathematical support,support
47,"Computer Systems: A Programmer's Perspective, Global Edition",Programming support,strong
48,Computer Vision: A Modern Approach,Directly AI-related,direct
49,Computing with Python,Programming support,strong
50,"Concepts of Programming Languages, Global Edition",Programming support,strong
51,"Precalculus: Graphical, Numerical, Algebraic, Global Edition",Mathematical support,support
52,Data Abstraction & Problem Solving with C++,Programming support,strong
53,College Algebra and Trigonometry: A Unit Circle Approach,Mathematical support,support
54,Precalculus: Functions and Graphs,Mathematical support,support
55,"Calculus, Early Transcendentals",Mathematical support,support
56,"Differential Equations and Boundary Value Problems: Computing and Modeling, Global Edition",Mathematical support,support
57,"Differential Equations and Linear Algebra, Global Edition",Mathematical support,support
58,Differential Equations and Linear Algebra: Pearson New International Edition PDF eBook,Mathematical support,support
59,Data Structures and Algorithm Analysis in Java,Programming support,strong
60,Data Structures and Algorithms in Java,Programming support,strong
61,"Business Analytics, Global Edition",Mathematical support,support
62,Data Structures and Problem Solving Using Java,Programming support,strong
63,"First Course in Abstract Algebra, A",Mathematical support,support
64,Modern Elementary Statistics,Mathematical support,support
65,Linear Algebra,Mathematical support,support
66,"Data Science for All, Global Edition",Mathematical support,support
67,"Calculus & Its Applications, Global Edition",Mathematical support,support
68,Differential Equations and Linear Algebra,Mathematical support,support
69,"Essential Statistics, Global Edition",Mathematical support,support
70,"Calculus for the Life Sciences, Global Edition",Mathematical support,support
71,Discrete and Combinatorial Mathematics,Mathematical support,support
72,"Discrete and Combinatorial Mathematics (Classic Version), Global Edition ",Mathematical support,support
73,"Business Statistics: A Decision Making Approach, Global Edition",Mathematical support,support
74,"Engineering Software Products: An Introduction to Modern Software Engineering, Global Edition",Programming support,strong
75,Applied Partial Differential Equations with Fourier Series and Boundary Value Problems,Mathematical support,support
76,"Introductory Mathematical Analysis for Business, Economics, and the Life and Social Sciences, Global Edition",Mathematical support,support
77,"Thomas' Calculus, SI Units",Mathematical support,support
78,"Thomas' Calculus: Early Transcendentals, SI Units",Mathematical support,support
79,"University Calculus: Early Transcendentals, Global Edition",Mathematical support,support
80,"Fluency With Information Technology, Global Edition",Programming support,strong
81,"Fundamentals of Web Development, Global Edition",Programming support,strong
82,Internet & World Wide Web: How to Program,Programming support,strong
83,"Introduction to Mathematical Statistics, Global Edition",Mathematical support,support
84,"Probability and Statistical Inference, Global Edition",Mathematical support,support
85,"Probability and Statistical Inference, Global Edition",Mathematical support,support
86,Advanced Modern Engineering Maths,Mathematical support,support
87,Modern Engineering Mathematics,Mathematical support,support
88,Modern Engineering Mathematics,Mathematical support,support
89,"Miller & Freund's Probability and Statistics for Engineers, Global Edition",Mathematical support,support
90,"Discrete Mathematics, Global Edition",Mathematical support,support
91,Discrete Mathematics: Pearson New International Edition PDF eBook,Mathematical support,support
92,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud, Global Edition",Programming support,strong
93,"Introduction to Automata Theory, Languages, and Computation",Programming support,strong
94,"History of Mathematics, A",Mathematical support,support
95,"Introduction to Computing and Programming in Python, Global Edition",Programming support,strong
96,Elementary Differential Equations with Boundary Value Problems,Mathematical support,support
97,Discrete Mathematical Structures,Mathematical support,support
98,Elementary Linear Algebra with Applications,Mathematical support,support
99,How to Use Statistics,Mathematical support,support
100,Introduction to Mathematical Statistics and Its Applications,Mathematical support,support
101,"Elementary Statistics: Picturing the World, Global Edition",Mathematical support,support
102,"Elementary Statistics: Picturing the World, Global Edition",Mathematical support,support
103,"Elementary Statistics: Picturing the World, Global Edition",Mathematical support,support
104,Analysis with an Introduction to Proof,Mathematical support,support
105,"Linear Algebra and Its Applications, Global Edition",Mathematical support,support
106,Introduction to Behavioral Research Methods,Mathematical support,support
107,"Linear Algebra with Applications, Global Edition",Mathematical support,support
108,"Business Statistics: A First Course, Global Edition",Mathematical support,support
109,"Statistics for Managers Using Microsoft Excel, Global Edition",Mathematical support,support
