Rank,Title,category,fuzzy_relevance,fuzzy_recency,fuzzy_affordability,fuzzy_score
1,"Artificial Intelligence, 2e",Directly AI-related,1.0,0.75,1.0,0.9500000000000001
2,"Artificial Intelligence, Analytics and Data Science (Vol. 1)",Directly AI-related,1.0,0.5,1.0,0.9
3,Introduction to Artificial Intelligence: A Business Perspective,Directly AI-related,1.0,1.0,0.4359023152553124,0.8589755788138282
4,Android Boot Camp for Developers Using Java®,Programming support,0.8,1.0,0.7179828734538535,0.8494957183634634
5,Programming Logic & Design,Programming support,0.8,1.0,0.582429432286711,0.8156073580716777
6,Microsoft Visual C#: Introduction to Object Oriented Programming,Programming support,0.8,1.0,0.582429432286711,0.8156073580716777
7,Readings from Programming with Java,Programming support,0.8,1.0,0.5311132254995242,0.8027783063748811
8,Readings From Programming with Python,Programming support,0.8,1.0,0.5311132254995242,0.8027783063748811
9,Data Structures and Algorithms in Python,Programming support,0.8,0.5,0.8901363780526482,0.7925340945131621
10,"Software Engineering: Concepts and Practices, 2e",Programming support,0.55,0.75,1.0,0.7700000000000001
11,Discovering Mathematics: A Quantitative Reasoning Approach,Mathematical support,0.55,1.0,0.7838883602917857,0.7659720900729464
12,Java Programming,Programming support,0.8,1.0,0.3406279733587059,0.7551569933396766
13,Fundamentals of Python: First Programs,Programming support,0.8,1.0,0.3406279733587059,0.7551569933396766
14,Programming With Microsoft Visual Basic 2019/2022,Programming support,0.8,1.0,0.3406279733587059,0.7551569933396766
15,Web Development: Full Stack,Programming support,0.8,1.0,0.3406279733587059,0.7551569933396766
16,Computer Science: A Structured Programming Approach in C,Programming support,0.8,1.0,0.3406279733587059,0.7551569933396766
17,Introduction to Algorithms and Data Structures,Programming support,0.8,1.0,0.3406279733587059,0.7551569933396766
18,JavaScript for Web Warriors,Programming support,0.8,0.75,0.5311132254995242,0.7527783063748812
19,Readings from Programming with C++,Programming support,0.8,0.75,0.3406279733587059,0.7051569933396766
20,Readings from Python Fundamentals,Programming support,0.8,0.5,0.5311132254995242,0.7027783063748811
21,"Mathematics for Machine Technology, Cengage International Edition",Mathematical support,0.55,1.0,0.46520773866159215,0.6863019346653981
22,"Precalculus: Mathematics for Calculus, International Metric Edition",Mathematical support,0.55,1.0,0.3845861084681257,0.6661465271170315
