No,Title,category,tier
1,Introduction Techinical Mathematics,Mathematical support,support
2,Calculus,Mathematical support,support
3,"Calculus, Metric Edition",Mathematical support,support
4,Calculus: Early Transcendentals,Mathematical support,support
5,"Calculus: Early Transcendentals, Metric Edition",Mathematical support,support
6,Multivariable Calculus,Mathematical support,support
7,"Multivariable Calculus, Metric Edition",Mathematical support,support
8,Single Variable Calculus,Mathematical support,support
9,"Single Variable Calculus, Metric Edition",Mathematical support,support
10,Single Variable Calculus: Early Transcendentals,Mathematical support,support
11,"Single Variable Calculus: Early Transcendentals, Metric Edition",Mathematical support,support
12,"Mathematics for Machine Technology, Cengage International Edition",Mathematical support,support
13,Android Boot Camp for Developers Using Java®,Programming support,strong
14,"Biocalculus: Calculus, Probability, and Statistics for the Life Sciences",Mathematical support,support
15,"Artificial Intelligence, 2e",Directly AI-related,direct
16,"Linear Algebra: A Modern Introduction, Cengage International Edition",Mathematical support,support
17,Computer Science: A Structured Programming Approach in C,Programming support,strong
18,Discovering Mathematics: A Quantitative Reasoning Approach,Mathematical support,support
19,Elementary and Intermediate Algebra,Mathematical support,support
20,Fundamentals of Python: First Programs,Programming support,strong
21,Introduction to Statistics and Data Analysis,Mathematical support,support
22,Mathematics: Journey from Basic Mathematics through Intermediate Algebra,Mathematical support,support
23,Seeing Through Statistics,Mathematical support,support
24,A First Course in Differential Equations with Modeling Applications,Mathematical support,support
25,Algebra and Trigonometry,Mathematical support,support
26,Applied Calculus,Mathematical support,support
27,Applied Calculus,Mathematical support,support
28,Calculus of a Single Variable: Early Transcendental Functions,Mathematical support,support
29,Calculus: Early Transcendental Functions,Mathematical support,support
30,"Calculus: Early Transcendental Functions, International Metric Edition",Mathematical support,support
31,College Algebra,Mathematical support,support
32,Differential Equations with Boundary-Value Problems,Mathematical support,support
33,"Differential Equations with Boundary-Value Problems, International Metric Edition",Mathematical support,support
34,Introduction to Algorithms and Data Structures,Programming support,strong
35,Introduction to Artificial Intelligence: A Business Perspective,Directly AI-related,direct
36,Java Programming,Programming support,strong
37,JavaScript for Web Warriors,Programming support,strong
38,Finite Mathematics,Mathematical support,support
39,Finite Mathematics and Applied Calculus,Mathematical support,support
40,Precalculus Mathematics for Calculus,Mathematical support,support
41,"Precalculus: Mathematics for Calculus, International Metric Edition",Mathematical support,support
42,Microsoft Visual C#: Introduction to Object Oriented Programming,Programming support,strong
43,Statistics: Learning from Data,Mathematical support,support
44,Understanding Basic Statistics,Mathematical support,support
45,Calculus,Mathematical support,support
46,Calculus Concepts and Contexts,Mathematical support,support
47,Calculus of a Single Variable,Mathematical support,support
48,"Calculus, International Metric Edition",Mathematical support,support
49,College Algebra,Mathematical support,support
50,Multivariable Calculus,Mathematical support,support
51,"Multivariable Calculus, International Metric Edition",Mathematical support,support
52,Understandable Statistics,Mathematical support,support
53,Programming Logic & Design,Programming support,strong
54,Programming With Microsoft Visual Basic 2019/2022,Programming support,strong
55,Readings from Programming with C++,Programming support,strong
56,Readings from Programming with Java,Programming support,strong
57,Readings From Programming with Python,Programming support,strong
58,Algebra & Trig,Mathematical support,support
59,"Software Engineering: Concepts and Practices, 2e",Programming support,support
60,College Algebra,Mathematical support,support
61,Mind on Statistics,Mathematical support,support
62,Precalculus,Mathematical support,support
63,Precalculus Metric Version,Mathematical support,support
64,Precalculus with Limits,Mathematical support,support
65,"Artificial Intelligence, Analytics and Data Science (Vol. 1)",Directly AI-related,direct
66,Trigonometry,Mathematical support,support
67,Data Structures and Algorithms in Python,Programming support,strong
68,Trigonometry: A Right Triangle Approach,Mathematical support,support
69,Readings from Python Fundamentals,Programming support,strong
70,Web Development: Full Stack,Programming support,strong
